File,sbj,Block_nr,Trial_nr,ItemID,word_1,word_2,word_3,picture,filename,marker,condition,constraint,wordorder,presentation_RT,accuracy,accuracy_comments,manual_RT
Exp_EEG2.txt,2,2,43,115,flesopener,vaasje,gerst,bier,beer.png,3,unstructured,c,NO,0,1,,0.864192236
Exp_EEG2.txt,2,2,44,180,maaier,graf,barak,ei,egg.png,7,unstructured,uc,NO,770,1,,0.700295123
Exp_EEG2.txt,2,3,45,207,hertog,inktvis,wattenstaafje,supermarkt,supermarket.png,7,unstructured,uc,NO,0,1,,1.186334836
Exp_EEG2.txt,2,3,46,29,astronaut,landde,op,maan,moon.png,1,structured,c,SVP,0,1,,0.628707879
Exp_EEG2.txt,2,3,47,80,raakte,oog,met,kurk,cork02.png,9,structured,uc,VOP,1090,1,,1.016786099
Exp_EEG2.txt,2,3,48,81,vond,sok,in,laars,boot02b.png,9,structured,uc,VOP,830,1,,0.702178998
Exp_EEG2.txt,2,3,49,67,opa,las,over,brug,bridge.png,9,structured,uc,SVP,0,1,,0.683340249
Exp_EEG2.txt,2,3,50,122,circus,feestneus,ballon,clown,clown.png,3,unstructured,c,NO,0,1,,0.711598372
Exp_EEG2.txt,2,3,51,103,brak,pols,in,tuin,garden.png,9,structured,uc,VOP,830,1,,0.773333333
Exp_EEG2.txt,2,3,52,100,ontmoetten,kennissen,op,strand,beach.png,9,structured,uc,VOP,0,1,,0.890566484
Exp_EEG2.txt,2,3,53,190,bloem,rundvlees,tekstbericht,naald,needle.png,7,unstructured,uc,NO,0,0, ,1.308786702
Exp_EEG2.txt,2,3,54,87,vlek,lijkt,op,muis,mouse.png,9,structured,uc,SVP,0,1,,0.769998493
Exp_EEG2.txt,2,3,55,148,aansteker,pijp,asbak,sigaret,cigarrette.png,3,unstructured,c,NO,0,1,,0.826514739
Exp_EEG2.txt,2,3,56,220,tijd,ambassadeur,winter,ziekenhuis,ziekenhuis.png,7,unstructured,uc,NO,0,1,,0.724785496
Exp_EEG2.txt,2,3,57,34,vogels,broeden,in,nest,nest.png,1,structured,c,SVP,0,1,,0.796372741
Exp_EEG2.txt,2,3,58,217,radiateur,sok,tribune,vulkaan,volcano.png,7,unstructured,uc,NO,0,1,,0.74550812
Exp_EEG2.txt,2,3,59,119,benen,achterzak,gulp,broek,pants2.png,3,unstructured,c,NO,0,1,,0.589146507
Exp_EEG2.txt,2,3,60,1,jongens,spelen,met,bal,ball02.png,1,structured,c,SVP,1040,1,,0.956502104
Exp_EEG2.txt,2,3,61,35,kok,roert,in,pan,pan.png,1,structured,c,SVP,0,1,,0.662544927
Exp_EEG2.txt,2,3,62,20,kind,likt,aan,ijsje,ijsje.png,1,structured,c,SVP,0,1,,0.792604991
Exp_EEG2.txt,2,3,63,209,piloot,kunstmest,strijkstok,tapijt,carpet.png,7,unstructured,uc,NO,0,1,,0.728553246
Exp_EEG2.txt,2,3,64,140,schietschijf,kogel,holster,pistool,gun.png,3,unstructured,c,NO,0,1,,0.754927494
Exp_EEG2.txt,2,3,65,39,hing,gordijn,voor,raam,window01.png,1,structured,c,VOP,0,1,,0.747391995
Exp_EEG2.txt,2,3,66,99,dier,beweegt,met,staart,tail.png,9,structured,uc,SVP,960,1,,0.785069492
Exp_EEG2.txt,2,4,67,170,waterlelie,sjalot,zolen,bier,beer.png,7,unstructured,uc,NO,860,1,,0.72
Exp_EEG2.txt,2,4,68,18,visser,trekt,aan,hengel,fishingrod.png,1,structured,c,SVP,570,1,,0.533333333
Exp_EEG2.txt,2,4,69,132,kleding,vakantie,bagage,koffer,suitcase.png,3,unstructured,c,NO,710,1,,0.67580475
Exp_EEG2.txt,2,4,70,105,vergat,sleutels,in,vaas,vase01.png,9,structured,uc,VOP,700,1,,0.641895003
Exp_EEG2.txt,2,4,71,48,bouwde,hek,rond,tuin,garden.png,1,structured,c,VOP,680,1,,0.636243378
Exp_EEG2.txt,2,4,72,124,koelkast,ijsblokje,apparaat,diepvries,freezer01.png,3,unstructured,c,NO,840,2,freezer,0.8
Exp_EEG2.txt,2,4,73,65,onderzoeker,gooide,met,bril,glasses01b.png,9,structured,uc,SVP,790,1,,0.600449756
Exp_EEG2.txt,2,4,74,32,kat,jaagt,op,muis,mouse.png,1,structured,c,SVP,680,1,,0.626666667
Exp_EEG2.txt,2,4,75,203,passagier,koelkast,veters,sigaret,cigarrette.png,7,unstructured,uc,NO,680,1,,0.613333333
Exp_EEG2.txt,2,4,76,165,dokter,verpleegster,ambulance,ziekenhuis,ziekenhuis.png,3,unstructured,c,NO,640,1,,0.427133269
Exp_EEG2.txt,2,4,77,188,jurk,popcorn,boer,koning,king.png,7,unstructured,uc,NO,740,1,,0.706666667
Exp_EEG2.txt,2,4,78,40,deed,aanzoek,met,ring,ring01.png,1,structured,c,VOP,690,1,,0.581611007
Exp_EEG2.txt,2,4,79,174,straat,handpalm,reptiel,broek,pants2.png,7,unstructured,uc,NO,0,1,,0.586666667
Exp_EEG2.txt,2,4,80,198,dief,klavier,gieter,potlood,pencil01.png,7,unstructured,uc,NO,800,1,,0.753043619
Exp_EEG2.txt,2,4,81,4,veegt,vloer,met,bezem,broom01.png,1,structured,c,VOP,650,1,,0.573333333
Exp_EEG2.txt,2,4,82,199,decoratie,schoorsteen,bestuurder,raket,rocket.png,7,unstructured,uc,NO,730,1,,0.693333333
Exp_EEG2.txt,2,4,83,211,badge,komkommer,weide,trap,stairs.png,7,unstructured,uc,NO,730,1,,0.611753005
Exp_EEG2.txt,2,4,84,212,kleermaker,landschap,gum,ui,onion.png,7,unstructured,uc,NO,690,1,,0.60610138
Exp_EEG2.txt,2,4,85,78,jongen ,stond,voor,kooi,cage.png,9,structured,uc,SVP,820,1,,0.786666667
Exp_EEG2.txt,2,4,86,30,sneed,vlees,met,mes,knife01.png,1,structured,c,VOP,660,1,,0.56
Exp_EEG2.txt,2,4,87,131,kalf,boer,rundvlees,koe,cow.png,3,unstructured,c,NO,780,1,,0.72
Exp_EEG2.txt,2,4,88,173,vijver,piloot,franjes,boterham,boterham.png,7,unstructured,uc,NO,760,1,,0.733333333
Exp_EEG2.txt,2,5,89,153,oven,bloem,glazuur,taart,cake.png,3,unstructured,c,NO,720,1,,0.687107999
Exp_EEG2.txt,2,5,90,41,man,knipte,met,schaar,scissors08.png,1,structured,c,SVP,700,1,,0.504372138
Exp_EEG2.txt,2,5,91,181,leuning,slurf,vlam,fiets,bike.png,7,unstructured,uc,NO,660,1,,0.559004509
Exp_EEG2.txt,2,5,92,213,nectar,snor,rodeo,vinger,finger.png,7,unstructured,uc,NO,710,1,,0.664501501
Exp_EEG2.txt,2,5,93,130,waterlelie,vijver,amfibie,kikker,frog.png,3,unstructured,c,NO,700,1,,0.653333333
Exp_EEG2.txt,2,5,94,55,aarde,draait,om,zon,sun.png,1,structured,c,SVP,710,1,,0.61363688
Exp_EEG2.txt,2,5,95,147,sok,zolen,veters,schoen,shoe.png,3,unstructured,c,NO,0,1,,0.570307758
Exp_EEG2.txt,2,5,96,200,trouwerij,verkeer,luier,schaap,sheep.png,7,unstructured,uc,NO,790,1,,0.600449756
Exp_EEG2.txt,2,5,97,13,vreemdeling,klopt,op,deur,deur.png,1,structured,c,SVP,540,1,,0.483649515
